date,supply_id,total_possible_utilization,supply_category_id,del_imps,edges,avg_perf,num_dem_cats,frac_util
1,3847671,28521,1,2656,11,0.9,2,0.0931
1,3847673,1621079,2,73366,9,0.82,4,0.0453
1,3847674,2343,1,168,11,0.83,2,0.0717
1,3847675,86356,2,2940,21,0.87,4,0.034
1,3847677,1992,1,279,11,0.8,2,0.1401
1,3847678,173364,2,2875,36,0.88,5,0.0166
1,3847679,35514,1,15406,150,0.74,13,0.4338
1,3847682,1327190,2,61113,136,0.1,18,0.046
1,3847683,445538,2,29781,138,0.1,18,0.0668
1,3847748,1242,1,0,0,0,0,0
1,3847749,2341,1,905,4,0.59,1,0.3866
1,3847751,2067,1,133,6,0.52,2,0.0643
1,3847760,12,NA,0,0,0,0,0
1,3847761,1218938,2,126785,10,0.93,5,0.104
1,3847762,2072801,3,24906,110,0.93,16,0.012
1,3847767,548772,3,110175,52,0.7,20,0.2008
1,3847772,39,1,2,2,1,2,0.0513
1,3847783,20312,1,1,1,1,1,0
1,3847784,16,1,1,1,1,1,0.0625
1,3847788,4673,2,333,72,0.64,18,0.0713
1,3847827,32396,4,3136,61,0.92,21,0.0968
1,3847828,39259,4,7270,152,0.83,28,0.1852
1,3847830,57,4,1,1,1,1,0.0175
1,3847831,39,4,0,0,0,0,0
1,3847832,26902,4,5989,80,0.85,30,0.2226
1,3847841,76764,1,5887,65,0.7,8,0.0767
1,3847851,14,1,4,2,0,2,0.2857
1,3847869,51439,2,30635,141,0.85,19,0.5956
1,3847904,23,1,14,2,0.93,1,0.6087
1,3847940,90,3,0,0,0,0,0
1,3847944,3161,1,0,0,0,0,0
1,3847963,596,2,8,2,0.88,1,0.0134
1,3847968,140773,1,136407,191,0.43,17,0.969
1,3847970,53,2,0,0,0,0,0
1,3847974,96741,2,1390,21,0.88,4,0.0144
1,3847977,41,2,0,0,0,0,0
1,3847979,37562,2,190,24,0.89,8,0.0051
1,3847980,21638,2,264,20,0.78,3,0.0122
1,3847981,1029405,2,0,0,0,0,0
1,3847984,24415,2,283,22,0.89,5,0.0116
1,3847992,24,1,0,0,0,0,0
1,3847994,23103,3,2,1,1,1,1e-04
1,3847998,58,1,1,1,1,1,0.0172
1,3847999,127,1,10,1,0.7,1,0.0787
1,3848001,30,NA,0,0,0,0,0
1,3848002,21,NA,0,0,0,0,0
1,3848003,510,1,124,6,0.82,3,0.2431
1,3848004,1907,1,738,3,0.37,3,0.387
1,3848005,16,NA,0,0,0,0,0
1,3848013,4,2,0,0,0,0,0
1,3848015,29289,2,360,31,0.83,4,0.0123
1,3848019,315,2,0,0,0,0,0
1,3848023,15,1,5,1,0.8,1,0.3333
